word	frequency	rank
страсти	8	425
иней	8	426
радость	8	427
впервые	8	428
труб	8	429
зале	8	430
огни	8	431
грохот	8	432
Душа	8	433
дороге	8	434
тянется	8	435
настежь	8	436
шелест	8	437
горизонт	8	438
дал	8	439
волн	8	440
жара	8	441
любил	8	442
дыханье	8	443
овраг	8	444
впотьмах	8	445
Время	8	446
жизнью	8	447
Тише	8	448
дороги	8	449
бьет	8	450
голов	8	451
своды	8	452
ворот	8	453
наземь	8	454
трюмо	8	455
рекой	8	456
День	8	457
поля	8	458
входа	8	459
горе	8	460
вдалеке	8	461
доме	8	462
ветру	8	463
конце	8	464
хаос	8	465
страсть	8	466
полу	8	467
столько	8	468
зной	8	469
Свеча	8	470
жаркий	8	471
дверей	8	472
зов	8	473
прочь	8	474
землей	7	475
песок	7	476
зги	7	477
призрак	7	478
дорог	7	479
видеть	7	480
места	7	481
топи	7	482
кровью	7	483
снежной	7	484
листья	7	485
ждут	7	486
леса	7	487
глубине	7	488
дворы	7	489
каких	7	490
говор	7	491
равно	7	492
поток	7	493
реке	7	494
грязь	7	495
облик	7	496
друга	7	497
Облака	7	498
ужас	7	499
женщин	7	500
птицы	7	501
льда	7	502
Шопен	7	503
тьмы	7	504
твоего	7	505
лестницы	7	506
веков	7	507
веткой	7	508
тьма	7	509
дрожь	7	510
ад	7	511
Заря	7	512
мыслей	7	513
сцены	7	514
тоской	7	515
бегут	7	516
кровель	7	517
рука	7	518
ветвей	7	519
прелесть	7	520
каждой	7	521
каждым	7	522
снизу	7	523
женщина	7	524
Стоят	7	525
луж	7	526
голоса	7	527
первым	7	528
Скала	7	529
эпохи	7	530
бред	7	531
свежа	7	532
падают	7	533
счет	7	534
вздох	7	535
юг	7	536
голову	7	537
Пахнет	7	538
Огромный	7	539
выход	7	540
вслед	7	541
роз	7	542
мглу	7	543
иглы	7	544
горит	7	545
рвется	7	546
Жизнь	7	547
четырех	7	548
Звезды	7	549
разгаре	7	550
сонный	7	551
бегом	7	552
веток	7	553
тополь	7	554
Скорей	7	555
Спекторский	7	556
дик	7	557
несмотря	7	558
Сегодня	7	559
воды	7	560
белых	7	561
лета	7	562
речь	7	563
песнь	7	564
белый	7	565
объятья	7	566
Дождь	7	567
платье	7	568
сказать	7	569
Льет	7	570
звук	7	571
людям	7	572
Три	7	573
поезд	7	574
щелканье	7	575
делать	7	576
помнишь	7	577
грудью	7	578
ночных	7	579
черные	7	580
раннем	7	581
Гроза	7	582
небосклон	7	583
рта	7	584
густой	7	585
ручьи	7	586
Море	7	587
стих	7	588
дворе	7	589
стоят	7	590
хочет	7	591
стене	7	592
гам	7	593
столе	7	594
слышно	7	595
Уходит	7	596
счастье	7	597
дождем	7	598
запад	7	599
детей	7	600
толпы	6	601
твою	6	602
мучить	6	603
дождик	6	604
больной	6	605
испуг	6	606
сырой	6	607
делу	6	608
пьют	6	609
плит	6	610
несет	6	611
кустах	6	612
чай	6	613
гладь	6	614
цепь	6	615
пожар	6	616
числа	6	617
комнаты	6	618
Ходит	6	619
жуть	6	620
парка	6	621
цвет	6	622
извне	6	623
следы	6	624
судьба	6	625
кольца	6	626
стужа	6	627
лбу	6	628
чащи	6	629
роль	6	630
берег	6	631
голой	6	632
ума	6	633
хлам	6	634
белые	6	635
бьется	6	636
плеч	6	637
шар	6	638
метели	6	639
образ	6	640
вдаль	6	641
чувств	6	642
балки	6	643
силы	6	644
грех	6	645
подол	6	646
Днепр	6	647
власть	6	648
станет	6	649
шуме	6	650
вкруг	6	651
выси	6	652
буря	6	653
лип	6	654
ненастье	6	655
красе	6	656
зареве	6	657
ум	6	658
старость	6	659
дуги	6	660
честь	6	661
потолок	6	662
искры	6	663
Стихи	6	664
траве	6	665
веки	6	666
вод	6	667
Сергей	6	668
первые	6	669
встает	6	670
шторм	6	671
падал	6	672
смысл	6	673
хочется	6	674
лег	6	675
бушует	6	676
спал	6	677
падает	6	678
тридцать	6	679
Огни	6	680
многих	6	681
вход	6	682
падали	6	683
бытия	6	684
раме	6	685
подков	6	686
последних	6	687
вечность	6	688
памяти	6	689
Бушует	6	690
порог	6	691
стеной	6	692
наугад	6	693
шорох	6	694
крепость	6	695
фонари	6	696
ворота	6	697
свечи	6	698
узнал	6	699
городе	6	700
весной	6	701
ангел	6	702
рты	6	703
тоску	6	704
скажу	6	705
сырость	6	706
пяти	6	707
огня	6	708
дверьми	6	709
рвутся	6	710
волосы	6	711
Тучи	6	712
звука	6	713
Прошли	6	714
прямой	6	715
чаду	6	716
Бежит	6	717
деле	6	718
реки	6	719
Москве	6	720
вслух	6	721
уголь	6	722
трава	6	723
Сестра	6	724
лоб	6	725
лязг	6	726
ветвях	6	727
конный	6	728
тополя	6	729
судьбе	6	730
тах	6	731
Вдоль	6	732
насквозь	6	733
закату	6	734
березы	6	735
град	6	736
другу	6	737
отдых	6	738
стен	6	739
круг	6	740
толпе	6	741
фонарей	6	742
страшно	6	743
детский	6	744
Дворы	6	745
брови	6	746
дерев	6	747
Последний	6	748
взят	6	749
вдвоем	6	750
кверху	6	751
шло	6	752
вместе	6	753
колес	6	754
новых	6	755
станции	6	756
свод	6	757
руку	6	758
участь	6	759
матрос	6	760
родом	6	761
дно	6	762
лицом	6	763
пальто	6	764
поворот	6	765
ненастья	6	766
цели	6	767
случай	6	768
живым	6	769
дверью	6	770
дышит	6	771
лужи	6	772
липы	6	773
пространства	6	774
капель	6	775
пропасть	6	776
печаль	6	777
тротуар	6	778
Бывало	6	779
порога	6	780
одинок	5	781
солью	5	782
знаком	5	783
входит	5	784
прошел	5	785
шумом	5	786
писать	5	787
зарево	5	788
Люблю	5	789
лиц	5	790
щек	5	791
старом	5	792
глядит	5	793
пояс	5	794
вспомню	5	795
синий	5	796
Любимая	5	797
гостях	5	798
язык	5	799
копыт	5	800
следом	5	801
Голос	5	802
черным	5	803
зиму	5	804
сердцу	5	805
борьбе	5	806
глушь	5	807
столб	5	808
подъезд	5	809
городов	5	810
жива	5	811
огнем	5	812
зуб	5	813
марш	5	814
цепи	5	815
Земле	5	816
старых	5	817
полз	5	818
обрывки	5	819
городских	5	820
холода	5	821
лазури	5	822
небеса	5	823
огней	5	824
встарь	5	825
жару	5	826
миги	5	827
соль	5	828
скажешь	5	829
чрез	5	830
мере	5	831
дать	5	832
бору	5	833
народ	5	834
право	5	835
имен	5	836
розы	5	837
новость	5	838
иных	5	839
Брось	5	840
Июль	5	841
дыма	5	842
волной	5	843
гулом	5	844
тьмой	5	845
весною	5	846
Недвижный	5	847
тучах	5	848
зал	5	849
прежнему	5	850
Спи	5	851
лиловой	5	852
Летит	5	853
пробкой	5	854
зарей	5	855
темно	5	856
Известно	5	857
кровле	5	858
плену	5	859
толпой	5	860
Седой	5	861
план	5	862
струя	5	863
Октябрь	5	864
стужи	5	865
слава	5	866
Навстречу	5	867
пласт	5	868
водой	5	869
ночей	5	870
даче	5	871
выйдет	5	872
друзья	5	873
вдогонку	5	874
волос	5	875
замер	5	876
времени	5	877
мозг	5	878
царство	5	879
Наверно	5	880
знаешь	5	881
гаме	5	882
дорогу	5	883
ребят	5	884
франц	5	885
удар	5	886
навстречу	5	887
пространство	5	888
темноты	5	889
льдом	5	890
паруса	5	891
пены	5	892
царства	5	893
мост	5	894
обрыва	5	895
взамен	5	896
четыре	5	897
слышу	5	898
устах	5	899
черед	5	900
чтенье	5	901
деревне	5	902
Пошли	5	903
масло	5	904
Две	5	905
лесов	5	906
Черной	5	907
поворотом	5	908
плащ	5	909
Двор	5	910
полной	5	911
парк	5	912
окнам	5	913
горечь	5	914
лиловый	5	915
площади	5	916
стон	5	917
тайн	5	918
говорят	5	919
спросишь	5	920
непогоду	5	921
спину	5	922
трубы	5	923
Лес	5	924
Шмидт	5	925
полях	5	926
виде	5	927
вырос	5	928
препятствий	5	929
высится	5	930
медь	5	931
чащ	5	932
заката	5	933
стан	5	934
глухой	5	935
писал	5	936
Тротуар	5	937
ото	5	938
звездам	5	939
велик	5	940
вспомнил	5	941
силой	5	942
семи	5	943
упор	5	944
части	5	945
природе	5	946
теплом	5	947
Поэзия	5	948
трех	5	949
справа	5	950
пух	5	951
версты	5	952
велит	5	953
площадь	5	954
встал	5	955
сети	5	956
белым	5	957
Весенний	5	958
содом	5	959
сани	5	960
прах	5	961
